313,Mentor Lake Catholic (OH),32.584,32.842,.880,29.429,-1.179,(OH),41
314,Marlton Cherokee (NJ),32.577,32.763,1.020,28.652,-1.594,(NJ),38
315,Fort Worth North Crowley (TX),32.522,31.345,.925,31.821,.230,(TX),25
316,Lawton (OK),32.512,32.428,.825,30.174,1.175,(OK),73
317,San Angelo Central (TX),32.480,32.184,.883,31.210,1.829,(TX),58
318,Fort Walton Beach Choctawhatchee (FL),32.453,32.593,.816,30.682,.839,(FL),60
319,Marrero Archbishop Shaw (LA),32.407,31.844,.878,29.060,-.729,(LA),47
320,Farmington Hills Harrison (MI),32.398,32.372,.886,30.137,.135,(MI),42
321,Amarillo Tascosa (TX),32.379,32.716,.786,29.037,-.468,(TX),62
322,Miami Killian (FL),32.369,32.508,.879,26.579,-3.293,(FL),44
323,Rosenberg Terry (TX),32.354,32.592,.820,29.122,-2.394,(TX),31
324,Indianapolis Roncalli (IN),32.307,32.022,.900,26.838,-3.080,(IN),48
325,Omaha Creighton Preparatory (NE),32.301,31.879,.793,27.293,-1.194,(NE),53
326,Hilliard Davidson (OH),32.265,32.129,.999,26.814,-3.000,(OH),41
327,Plymouth Wayzata (MN),32.245,31.826,.976,27.691,-2.370,(MN),45
328,Thomaston Upson-Lee (GA),32.233,31.566,.980,29.951,-1.704,(GA),26
329,Fairfax Robinson (VA),32.211,32.035,.789,29.008,-1.689,(VA),47
330,Baton Rouge Catholic (LA),32.200,31.843,.887,28.186,-.663,(LA),74
331,Sherman (TX),32.164,32.742,.891,30.007,1.400,(TX),63
332,Anaheim Servite (CA),32.147,31.795,.918,29.376,.770,(CA),59
333,Pace (FL),32.140,32.038,.792,29.912,-1.025,(FL),35
334,Crowley Notre Dame (LA),32.098,31.934,.851,28.240,-1.969,(LA),49
335,Zachary (LA),32.077,31.736,.746,31.455,.517,(LA),36
336,Lubbock Monterey (TX),32.068,31.426,.864,29.537,.390,(TX),53
337,Houston Eisenhower (TX),32.066,32.709,.804,30.231,-.840,(TX),44
338,Pensacola Escambia (FL),32.065,31.806,.855,30.378,.190,(FL),45
339,Houston Stratford (TX),32.060,32.283,.845,29.591,-.925,(TX),41
340,Belle Glades Central (FL),32.058,31.775,.687,28.122,-1.054,(FL),62
