"TeamName","State","URL","Date","Location","Opponent","WL","Score","OpponentURL","ScrapedAt","Status"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","8/30","vs","Schaumburg","L","12-7","https://www.maxpreps.com/il/schaumburg/schaumburg-saxons/football/","2025-02-10T17:06:59.925956","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","9/6","@","Zion-Benton","W","33-20","https://www.maxpreps.com/il/zion/zion-benton-zee-bees/football/","2025-02-10T17:06:59.966408","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","9/13","@","Round Lake","W","63-0","https://www.maxpreps.com/il/round-lake/round-lake-panthers/football/","2025-02-10T17:07:00.007446","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","9/20","vs","Lakes","W","41-6","https://www.maxpreps.com/il/lake-villa/lakes-eagles/football/","2025-02-10T17:07:00.060413","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","9/27","@","North Chicago","W","50-8","https://www.maxpreps.com/il/north-chicago/north-chicago-warhawks/football/","2025-02-10T17:07:00.103462","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","10/4","vs","Grayslake North","W","22-18","https://www.maxpreps.com/il/grayslake/grayslake-north-knights/football/","2025-02-10T17:07:00.146059","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","10/10","vs","Wauconda","W","38-24","https://www.maxpreps.com/il/wauconda/wauconda-bulldogs/football/","2025-02-10T17:07:00.186148","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","10/18","vs","Grant Community","L","56-54","https://www.maxpreps.com/il/fox-lake/grant-community-bulldogs/football/","2025-02-10T17:07:00.226189","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","10/25","@","Grayslake Central","W","53-20","https://www.maxpreps.com/il/grayslake/grayslake-central-rams/football/","2025-02-10T17:07:00.277488","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","11/1","vs","Grayslake North","W","43-27","https://www.maxpreps.com/il/grayslake/grayslake-north-knights/football/","2025-02-10T17:07:00.319525","Processed"
"Antioch (IL)","(IL)","https://www.maxpreps.com/il/antioch/antioch-sequoits/football/schedule/","11/9","vs","Cary-Grove","L","41-8","https://www.maxpreps.com/il/cary/cary-grove-trojans/football/","2025-02-10T17:07:00.358640","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","8/30","@","Nokomis","L","27-10","https://www.maxpreps.com/il/nokomis/nokomis-redskins/football/","2025-02-10T17:07:10.974939","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","9/6","vs","SOVB (CO-OP)","L","49-14","https://www.maxpreps.com/il/sullivan/sullivan-okaw-valley-bethany-redskins/football/","2025-02-10T17:07:11.032581","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","9/13","vs","Argenta-Oreana","W","33-14","https://www.maxpreps.com/il/argenta/argenta-oreana-bombers/football/","2025-02-10T17:07:11.078229","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","9/20","@","TC (CO-OP)","W","44-20","https://www.maxpreps.com/il/kansas/tri-county-kansas-shiloh-oakland-titans/football/","2025-02-10T17:07:11.125563","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","9/27","@","Villa Grove","W","50-12","https://www.maxpreps.com/il/villa-grove/villa-grove-blue-devils/football/","2025-02-10T17:07:11.176374","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","10/4","vs","Cumberland","L","46-6","https://www.maxpreps.com/il/toledo/cumberland-pirates/football/","2025-02-10T17:07:11.224603","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","10/11","@","Sangamon Valley/Tri-City","L","34-0","https://www.maxpreps.com/il/niantic/tri-city-sangamon-valley-tornadoes/football/","2025-02-10T17:07:11.271433","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","10/18","@","ALAH (CO-OP)","L","57-10","https://www.maxpreps.com/il/arthur/arthur-lovington-atwood-hammond-knights/football/","2025-02-10T17:07:11.315517","Processed"
"Arcola Purple (IL)","(IL)","https://www.maxpreps.com/il/arcola/arcola-purple-riders/football/schedule/","10/25","vs","Cerro Gordo/Bement","W","54-12","https://www.maxpreps.com/il/cerro-gordo/cerro-gordo-bement-broncos/football/","2025-02-10T17:07:11.357540","Processed"
