Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,West Bloomfield,Clinton Township Chippewa Valley,42-0,Processed,2025-02-01T18:16:58.398060
,Football,Westland John Glenn,River Rouge,8-37,Processed,2025-02-01T18:16:58.442143
,Football,White Lake Lakeland,South Lyon East,38-21,Processed,2025-02-01T18:16:58.484146
,Football,White Pigeon,Reading,52-14,Processed,2025-02-01T18:16:58.526338
,Football,Whitmore Lake,Detroit Osborn,51-6,Processed,2025-02-01T18:16:58.566013
,Football,Wyoming Godwin Heights,Mason County Central,14-16,Processed,2025-02-01T18:16:58.605011
,Football,Yale,Swartz Creek,26-29,Processed,2025-02-01T18:16:58.645697
,Football,Ypsilanti Community,Sterling Heights,61-0,Processed,2025-02-01T18:16:58.687948
,Football,Ann Arbor Skyline,Detroit University Prep Science & Math,19-14,Processed,2025-02-01T18:16:58.737064
,Football,Beal City,Ravenna,22-15,Processed,2025-02-01T18:16:58.779574
,Football,Benzie Central,Elk Rapids,2-7,Processed,2025-02-01T18:16:58.822989
,Football,Bloomfield Hills Brother Rice,Roseville,0-35,Processed,2025-02-01T18:16:58.862930
,Football,"Vehicle City Gridiron Classic
Burton Bendle",Otisville LakeVille Memorial,18-34,Processed,2025-02-01T18:16:58.910429
,Football,"Vehicle City Gridiron Classic
Burton Bentley",Flint Southwestern,14-22 (OT),Processed,2025-02-01T18:16:58.955949
,Football,Canton McKinley (OH),Avon (OH),14-21,Processed,2025-02-01T18:16:59.005949
,Football,Cheboygan,Saranac,13-35,Processed,2025-02-01T18:16:59.054464
,Football,Cincinnati Elder (OH),Grand Rapids West Catholic,20-13,Processed,2025-02-01T18:16:59.097997
,Football,Cincinnati Moeller (OH),Fort Wayne Bishop Dwenger (IN),42-18,Processed,2025-02-01T18:16:59.142515
,Football,"Xenith Prep Kickoff Classic
Clarkston",Belleville,28-35,Processed,2025-02-01T18:16:59.190515
