State_Code,Season,Teams,Total_Games,Actual_Avg_Games,Expected_Games_Per_Team,Coverage_Pct,Priority,Games_Gap
(VA),1966,251,1248,4.97,5.0,99.4,GOOD,0.03
(PA),1970,624,3099,4.97,5.0,99.4,GOOD,0.03
(VA),1971,291,1450,4.98,5.0,99.6,GOOD,0.02
(KS),1962,247,985,3.99,4.0,99.75,GOOD,0.01
(WI),1970,395,1577,3.99,4.0,99.75,GOOD,0.01
(IL),1974,521,2081,3.99,4.0,99.75,GOOD,0.01
(AL),1971,425,2119,4.99,5.0,99.8,GOOD,0.01
(AL),1973,453,2262,4.99,5.0,99.8,GOOD,0.01
(MX),1960,1,1,1.0,1.0,100.0,GOOD,0.0
(ND),1961,12,48,4.0,4.0,100.0,GOOD,0.0
(MX),1962,2,2,1.0,1.0,100.0,GOOD,0.0
(NH),1962,14,56,4.0,4.0,100.0,GOOD,0.0
(ON),1963,1,3,3.0,3.0,100.0,GOOD,0.0
(MX),1964,2,2,1.0,1.0,100.0,GOOD,0.0
(PA),1964,633,3166,5.0,5.0,100.0,GOOD,0.0
(BC),1964,2,8,4.0,4.0,100.0,GOOD,0.0
(BC),1965,2,8,4.0,4.0,100.0,GOOD,0.0
(MX),1965,2,2,1.0,1.0,100.0,GOOD,0.0
(MX),1967,1,1,1.0,1.0,100.0,GOOD,0.0
(AK),1968,2,8,4.0,4.0,100.0,GOOD,0.0
(MX),1968,2,2,1.0,1.0,100.0,GOOD,0.0
(MX),1969,2,2,1.0,1.0,100.0,GOOD,0.0
(KS),1971,315,1260,4.0,4.0,100.0,GOOD,0.0
(MX),1972,2,2,1.0,1.0,100.0,GOOD,0.0
(MX),1973,1,1,1.0,1.0,100.0,GOOD,0.0
(UT),1974,69,345,5.0,5.0,100.0,GOOD,0.0
(MX),1974,1,1,1.0,1.0,100.0,GOOD,0.0
(MI),1972,582,2334,4.01,4.0,100.25,GOOD,-0.01
(MS),1970,294,1476,5.02,5.0,100.4,GOOD,-0.02
(WY),1966,65,261,4.02,4.0,100.5,GOOD,-0.02
(MI),1974,601,2416,4.02,4.0,100.5,GOOD,-0.02
(MS),1961,263,1323,5.03,5.0,100.6,GOOD,-0.03
(PA),1965,640,3222,5.03,5.0,100.6,GOOD,-0.03
(ME),1960,31,125,4.03,4.0,100.75,GOOD,-0.03
(KS),1963,259,1043,4.03,4.0,100.75,GOOD,-0.03
(ME),1964,66,266,4.03,4.0,100.75,GOOD,-0.03
(WY),1973,72,290,4.03,4.0,100.75,GOOD,-0.03
(PA),1969,608,3069,5.05,5.0,101.0,GOOD,-0.05
(NC),1972,288,1455,5.05,5.0,101.0,GOOD,-0.05
(AL),1974,466,2351,5.05,5.0,101.0,GOOD,-0.05
(NC),1963,207,1047,5.06,5.0,101.2,GOOD,-0.06
(MS),1972,356,1800,5.06,5.0,101.2,GOOD,-0.06
(VA),1974,295,1492,5.06,5.0,101.2,GOOD,-0.06
(NE),1971,319,1293,4.05,4.0,101.25,GOOD,-0.05
(NC),1960,168,852,5.07,5.0,101.4,GOOD,-0.07
(VA),1972,291,1476,5.07,5.0,101.4,GOOD,-0.07
(KS),1964,261,1059,4.06,4.0,101.5,GOOD,-0.06
